key,name,form,brand,source_type,source_url,source_date,fdc_id,status
"ragi-finger-millet","Ragi (Finger Millet)",,,,,,,
"bajra-pearl-millet","Bajra (Pearl Millet)",,,,,,,
"jowar-sorghum","Jowar (Sorghum)",,,,,,,
"jowar-flour","Jowar Flour (Sorghum Flour)",,,,,,,
"amaranth-grain","Amaranth Grain",,,,,,,
"quinoa","Quinoa",,,,,,,
"buckwheat-flour","Buckwheat Flour",,,,,,,
"oats-rolled","Rolled Oats",,,,,,,
"gond-edible-gum","Gond (Edible Gum)",,,,,,,
"dink-gum-tragacanth","Dink (Gum Tragacanth)",,,,,,,
"foxnuts-makhana","Foxnuts (Makhana)",,,,,,,
"chia-seeds","Chia Seeds",,,,,,,
"flax-seeds","Flax Seeds",,,,,,,
"chia-seeds","Chia Seeds",,,,,,,
"flax-seeds","Flax Seeds (Linseed)",,,,,,,
"hemp-seeds","Hemp Seeds (Hemp Hearts)",,,,,,,
"pumpkin-seeds","Pumpkin Seeds (Pepitas)",,,,,,,
"sunflower-seeds","Sunflower Seeds",,,,,,,
"sesame-seeds","Sesame Seeds",,,,,,,
"watermelon-seeds","Watermelon Seeds",,,,,,,
"poppy-seeds","Poppy Seeds",,,,,,,
"nigella-seeds","Nigella Seeds (Black Cumin)",,,,,,,
"lotus-seeds","Lotus Seeds",,,,,,,
"perilla-seeds","Perilla Seeds",,,,,,,
"basil-seeds","Basil Seeds (Sabja)",,,,,,,
"quinoa-seeds","Quinoa Seeds",,,,,,,
"caraway-seeds","Caraway Seeds",,,,,,,
"fennel-seeds","Fennel Seeds",,,,,,,
"anise-seeds","Anise Seeds",,,,,,,
"dill-seeds","Dill Seeds",,,,,,,
"amaranth-seeds","Amaranth Seeds",,,,,,,
"sacha-inchi-seeds","Sacha Inchi Seeds",,,,,,,
"pomegranate-seeds","Pomegranate Seeds (Arils)",,,,,,,
"grape-seeds","Grape Seeds",,,,,,,
"baobab-seeds","Baobab Seeds",,,,,,,
"moringa-seeds","Moringa Seeds",,,,,,,
"papaya-seeds","Papaya Seeds",,,,,,,
"cantaloupe-seeds","Cantaloupe Seeds",,,,,,,
"honeydew-seeds","Honeydew Melon Seeds",,,,,,,
"teff-seeds","Teff Seeds",,,,,,,
"milk-thistle-seeds","Milk Thistle Seeds",,,,,,,
"evening-primrose-seeds","Evening Primrose Seeds",,,,,,,
"fenugreek-seeds","Fenugreek Seeds",,,,,,,
"mustard-seeds","Mustard Seeds",,,,,,,
"almonds","Almonds",,,,,,,
"walnuts-english","English Walnuts",,,,,,,
"walnuts-black","Black Walnuts",,,,,,,
"cashews","Cashews",,,,,,,
"pistachios","Pistachios",,,,,,,
"hazelnuts","Hazelnuts (Filberts)",,,,,,,
"hazelnuts-raw","Hazelnuts (Raw)",,,,,,,
"hazelnuts-roasted","Hazelnuts (Roasted)",,,,,,,
"hazelnuts-blanched","Hazelnuts (Blanched)",,,,,,,
"hazelnuts-chopped","Hazelnuts (Chopped)",,,,,,,
"hazelnut-flour","Hazelnut Flour (Meal)",,,,,,,
"hazelnut-butter","Hazelnut Butter (Pure)",,,,,,,
"pecans","Pecans",,,,,,,
"brazil-nuts","Brazil Nuts",,,,,,,
"macadamia-nuts","Macadamia Nuts",,,,,,,
"pine-nuts","Pine Nuts (Pignoli)",,,,,,,
"chestnuts","Chestnuts",,,,,,,
"beechnuts","Beechnuts",,,,,,,
"hickory-nuts","Hickory Nuts",,,,,,,
"butternuts","Butternuts (White Walnuts)",,,,,,,
"coconut-meat","Coconut Meat (fresh)",,,,,,,
"candlenuts","Candlenuts (Kukui)",,,,,,,
"sacha-inchi","Sacha Inchi (Inca Peanut)",,,,,,,
"kola-nuts","Kola Nuts",,,,,,,
